short999fct short99fct short95fct shortavgfct shortmedfct incast999fct incast99fct incast95fct incastavgfct incastmedfct long999fct long99fct long95fct longavgfct longmedfct avgTh medTh bufmax buf999 buf99 buf95 avgBuf medBuf load burst alg tcp scenario nprio
130.669 13.3442 7.51226 3.266650746753247 1.69834 8656.64 7879.74 6480.07 1267.3353368528037 4.55836 0 0 0 0 0 18.78204724714547 0.0 50.066 42.2445 31.8857 19.9739 2.4236169460909607 0.0 0.4 0.3 101 1 single 2
117.886 22.732 12.5598 5.694956137491141 3.97615 8470.12 7402.49 5346.52 907.1891099142288 5.215904999999999 0 0 0 0 0 33.386451446610465 2.42667 51.1147 49.357 42.3322 30.6718 6.095126110356003 0.0 0.6 0.3 101 1 single 2
137.114 86.8512 15.5999 7.773876757624398 5.92044 8833.26 8126.94 6027.76 1118.972085799569 106.98849999999999 0 0 0 0 0 43.384127964793656 33.8187 50.5387 49.627 45.8038 38.8047 9.860354798519085 0.0 0.8 0.3 101 1 single 2
88.8721 13.3442 7.51226 3.1000954220779215 1.70632 8656.64 7879.74 6480.07 1267.3849298960279 4.55836 0 0 0 0 0 18.781170829778297 0.0 50.066 43.821 31.8201 19.7957 2.464612076178862 0.0 0.4 0.3 102 1 single 2
115.291 25.2648 13.2554 5.870182069454289 4.04777 8469.17 7401.01 5346.34 907.1360742147606 5.186685000000001 0 0 0 0 0 33.38894432598226 1.73333 62.9553 49.3942 42.4208 31.0764 6.362399318829488 0.0 0.6 0.3 102 1 single 2
122.846 90.9376 15.4337 7.868308876404494 5.99651 8835.65 8119.9 6032.46 1113.144801038793 75.74334999999999 0 0 0 0 0 43.40894628513585 36.2933 57.9175 49.8499 45.3519 37.9033 9.956269825190352 0.0 0.8 0.3 102 1 single 2
21.5515 17.5067 10.7321 3.2805141450216446 1.72661 8656.64 7879.69 6480.07 1264.576128286215 4.56619 0 0 0 0 0 18.799054658367584 0.0 99.9999 98.5466 83.5042 44.0249 5.26720101698267 0.0 0.4 0.3 103 1 single 2
124.086 38.9046 20.1179 7.650136265060242 4.47722 8482.19 7407.81 5349.17 901.1415680385637 7.064465 0 0 0 0 0 33.49184092350523 0.0693333 99.9998 99.9463 96.2345 79.0957 15.130461423676737 0.0 0.6 0.3 103 1 single 2
128.278 45.4746 22.3519 9.73460270197967 7.63944 8839.67 8132.71 6031.72 1110.0095402550287 12.4108 0 0 0 0 0 43.512508825653256 30.7733 99.9979 99.9463 98.4086 88.6895 24.33828367305223 0.0 0.8 0.3 103 1 single 2
106.533 11.8837 6.99226 3.1918002056277057 1.7109 8656.64 7879.74 6480.07 1267.3984277523364 4.55836 0 0 0 0 0 18.780816268435682 0.0 50.066 36.2866 30.8336 19.099 2.3422988246432466 0.0 0.4 0.3 104 1 single 2
125.38 47.7501 12.8369 5.862243692416726 3.64562 8468.03 7400.1 5347.24 904.3030638916225 5.0983 0 0 0 0 0 33.43906391757218 1.94133 50.4395 48.7187 40.0043 28.621 5.127987169529695 0.0 0.6 0.3 104 1 single 2
312.643 129.878 16.8632 9.754420647405029 4.96695 8837.05 8145.18 6030.79 1113.1533517449714 5.663600000000001 0 0 0 0 0 43.45790058335084 31.6053 50.287 47.6768 38.9418 29.0292 6.408453511649616 0.0 0.8 0.3 104 1 single 2
11.4791 8.25138 6.12679 2.546875876623377 1.68595 8656.64 7879.76 6480.07 1263.214898895444 4.55836 0 0 0 0 0 18.843830730596306 0.0 40.8212 32.2903 26.3016 16.1874 1.9055871477249773 0.0 0.4 0.3 110 1 single 2
18.0078 13.6529 9.08115 4.125618951098512 3.3748 8471.82 7401.36 5346.33 891.2701933364361 4.63524 0 0 0 0 0 33.40826532182921 2.42667 49.8837 32.7759 27.5459 20.7185 3.91468908404184 0.0 0.6 0.3 110 1 single 2
17.416 14.9905 11.4056 5.316351920813268 4.82486 8837.13 8120.33 6029.46 1094.0639848987068 5.33264 0 0 0 0 0 43.436749716592175 33.4027 58.001 33.0451 30.278 24.7776 6.338148358722387 0.0 0.8 0.3 110 1 single 2
