short999fct short99fct short95fct shortavgfct shortmedfct incast999fct incast99fct incast95fct incastavgfct incastmedfct long999fct long99fct long95fct longavgfct longmedfct avgTh medTh bufmax buf999 buf99 buf95 avgBuf medBuf load burst alg tcp scenario nprio alpha_bg
126.347 84.6949 4.71457 3.6074832359307356 1.6373950000000002 8656.64 7879.74 6480.07 1293.220542151869 100.263 0 0 0 0 0 18.86001068604886 0.0 11.1672 9.6413 5.82683 2.5897 0.3022976095901959 0.0 0.4 0.3 101 1 alphasweep 2 0.0625
129.128 100.21 6.27925 5.450126413890858 2.71228 8467.84 7404.02 5346.22 936.9708559687501 101.936 0 0 0 0 0 33.49695692786528 3.536 14.1507 10.8408 7.61403 5.23004 0.7434820308875089 0.0 0.6 0.3 101 1 alphasweep 2 0.0625
289.293 118.131 9.61141 7.985228116639914 3.23376 8835.75 8119.43 6041.7 1143.2060217600576 104.3605 0 0 0 0 0 43.506949437854374 38.26 11.719 11.0508 9.32482 5.9715 1.2091140520709207 0.0 0.8 0.3 101 1 alphasweep 2 0.0625
125.531 86.5232 5.32389 3.6898720346320353 1.647195 8656.64 7879.83 6480.07 1270.921554963201 4.56619 0 0 0 0 0 18.82457744784548 0.0 19.9464 14.8279 10.7499 5.58675 0.6093088109880099 0.0 0.4 0.3 101 1 alphasweep 2 0.125
129.764 108.259 8.56138 5.576337604535789 2.99752 8467.82 7400.21 5346.19 918.094561181516 100.598 0 0 0 0 0 33.45846049832198 3.872 20.4208 19.5206 15.7566 10.576 1.8131987502912028 0.0 0.6 0.3 101 1 alphasweep 2 0.125
240.848 125.504 12.09 8.106345018726593 3.91926 8833.22 8120.8 6028.19 1128.4794668477014 104.762 0 0 0 0 0 43.555507141799424 38.6667 20.8513 20.1362 17.8684 13.7469 3.068022303577136 0.0 0.8 0.3 101 1 alphasweep 2 0.125
120.576 9.6214 6.20495 3.2369604437229436 1.669235 8656.64 7879.7 6480.07 1268.3883275525702 4.55954 0 0 0 0 0 18.80684948660987 0.0 33.3033 25.8814 19.5546 13.0294 1.5447015818016179 0.0 0.4 0.3 101 1 alphasweep 2 0.25
135.617 92.9232 10.695 5.838575790219702 3.39736 8468.01 7399.32 5346.31 911.4908308869682 5.21785 0 0 0 0 0 33.419927153297536 2.21867 33.7964 32.8198 27.7272 19.038 3.800627429931499 0.0 0.6 0.3 101 1 alphasweep 2 0.25
135.021 113.009 12.5181 7.424574970572498 4.77677 8835.36 8121.53 6041.89 1119.3287001551726 104.515 0 0 0 0 0 43.415880988197884 36.448 37.4069 33.2791 29.9814 24.5408 5.99125842499565 0.0 0.8 0.3 101 1 alphasweep 2 0.25
130.669 13.3442 7.51226 3.266650746753247 1.69834 8656.64 7879.74 6480.07 1267.3353368528037 4.55836 0 0 0 0 0 18.78204724714547 0.0 50.066 42.2445 31.8857 19.9739 2.4236169460909607 0.0 0.4 0.3 101 1 alphasweep 2 0.5
117.886 22.732 12.5598 5.694956137491141 3.97615 8470.12 7402.49 5346.52 907.1891099142288 5.215904999999999 0 0 0 0 0 33.386451446610465 2.42667 51.1147 49.357 42.3322 30.6718 6.095126110356003 0.0 0.6 0.3 101 1 alphasweep 2 0.5
137.114 86.8512 15.5999 7.773876757624398 5.92044 8833.26 8126.94 6027.76 1118.972085799569 106.98849999999999 0 0 0 0 0 43.384127964793656 33.8187 50.5387 49.627 45.8038 38.8047 9.860354798519085 0.0 0.8 0.3 101 1 alphasweep 2 0.5
35.0402 14.6522 9.44388 3.208470324675325 1.73139 8656.64 7879.63 6480.07 1265.4955353726637 4.56619 0 0 0 0 0 18.771970903052033 0.0 66.0257 61.7261 48.9448 30.2671 3.6041975985804857 0.0 0.4 0.3 101 1 alphasweep 2 1.0
138.746 31.0805 15.2722 6.601039482636428 4.39459 8468.59 7402.97 5347.8 904.3406910452127 6.106215000000001 0 0 0 0 0 33.400855262331625 1.73333 68.832 66.3416 59.0649 45.8507 9.355679219679695 0.0 0.6 0.3 101 1 alphasweep 2 1.0
144.509 43.2839 20.4347 9.002331209202781 6.99657 8838.33 8128.45 6038.41 1109.57381247773 6.660755 0 0 0 0 0 43.36521233797239 36.0267 67.3347 66.489 62.4209 53.5261 14.412402616582964 0.0 0.8 0.3 101 1 alphasweep 2 1.0
