short999fct short99fct short95fct shortavgfct shortmedfct incast999fct incast99fct incast95fct incastavgfct incastmedfct long999fct long99fct long95fct longavgfct longmedfct avgTh medTh bufmax buf999 buf99 buf95 avgBuf medBuf load burst alg tcp scenario nprio
130.669 13.3442 7.51226 3.266650746753247 1.69834 8656.64 7879.74 6480.07 1267.3353368528037 4.55836 0 0 0 0 0 37.29929480238205 48.128 50.066 45.1751 33.3989 26.8681 4.806186340307806 0.0 0.4 0.3 101 1 bufload 2
117.886 22.732 12.5598 5.694956137491141 3.97615 8470.12 7402.49 5346.52 907.1891099142288 5.215904999999999 0 0 0 0 0 66.06363239957399 59.888 51.1147 49.9137 45.3506 35.1108 12.190374125672312 8.25648 0.6 0.3 101 1 bufload 2
137.114 86.8512 15.5999 7.773876757624398 5.92044 8833.26 8126.94 6027.76 1118.972085799569 106.98849999999999 0 0 0 0 0 84.20771933901077 89.504 50.5387 49.951 47.3512 42.4955 19.44607024217404 19.3454 0.8 0.3 101 1 bufload 2
88.8721 13.3442 7.51226 3.1000954220779215 1.70632 8656.64 7879.74 6480.07 1267.3849298960279 4.55836 0 0 0 0 0 37.29853482563651 48.128 50.066 46.9547 33.4916 26.4635 4.887662991896037 0.0 0.4 0.3 102 1 bufload 2
115.291 25.2648 13.2554 5.870182069454289 4.04777 8469.17 7401.01 5346.34 907.1360742147606 5.186685000000001 0 0 0 0 0 66.18830189984999 59.744 62.9553 50.0112 45.2515 36.0366 12.71681627201304 9.87323 0.6 0.3 102 1 bufload 2
122.846 90.9376 15.4337 7.868308876404494 5.99651 8835.65 8119.9 6032.46 1113.144801038793 75.74334999999999 0 0 0 0 0 84.25436839379188 90.24 57.9175 50.1307 47.2174 41.8276 19.64275191051041 19.5991 0.8 0.3 102 1 bufload 2
21.5515 17.5067 10.7321 3.2805141450216446 1.72661 8656.64 7879.69 6480.07 1264.576128286215 4.56619 0 0 0 0 0 37.32068784559891 48.1973 99.9999 99.6429 88.5354 63.3667 10.368704585632711 0.0 0.4 0.3 103 1 bufload 2
124.086 38.9046 20.1179 7.650136265060242 4.47722 8482.19 7407.81 5349.17 901.1415680385637 7.064465 0 0 0 0 0 66.48584752260845 61.5467 99.9998 99.9755 99.2392 86.8917 30.19883342352647 21.2792 0.6 0.3 103 1 bufload 2
128.278 45.4746 22.3519 9.73460270197967 7.63944 8839.67 8132.71 6031.72 1110.0095402550287 12.4108 0 0 0 0 0 84.41442105204504 89.2693 99.9979 99.9631 99.6255 94.2518 47.44341444381988 50.9657 0.8 0.3 103 1 bufload 2
106.533 11.8837 6.99226 3.1918002056277057 1.7109 8656.64 7879.74 6480.07 1267.3984277523364 4.55836 0 0 0 0 0 37.2968328203424 48.128 50.066 39.4929 33.1805 25.5656 4.64354847101742 0.0 0.4 0.3 104 1 bufload 2
125.38 47.7501 12.8369 5.862243692416726 3.64562 8468.03 7400.1 5347.24 904.3030638916225 5.0983 0 0 0 0 0 66.18199818116362 61.6213 50.4395 49.5665 43.5885 34.0377 10.256076900854016 5.82683 0.6 0.3 104 1 bufload 2
312.643 129.878 16.8632 9.754420647405029 4.96695 8837.05 8145.18 6030.79 1113.1533517449714 5.663600000000001 0 0 0 0 0 83.94671874039881 89.296 50.287 48.8449 42.5741 33.8867 12.638063726793536 10.0351 0.8 0.3 104 1 bufload 2
11.4791 8.25138 6.12679 2.546875876623377 1.68595 8656.64 7879.76 6480.07 1263.214898895444 4.55836 0 0 0 0 0 37.42233697217744 48.128 40.8212 32.6847 28.8104 22.099 3.8081879840046797 0.0 0.4 0.3 110 1 bufload 2
18.0078 13.6529 9.08115 4.125618951098512 3.3748 8471.82 7401.36 5346.33 891.2701933364361 4.63524 0 0 0 0 0 66.09088511872237 59.5413 49.8837 33.2615 29.9235 24.0357 7.826854111871238 5.42219 0.6 0.3 110 1 bufload 2
17.416 14.9905 11.4056 5.316351920813268 4.82486 8837.13 8120.33 6029.46 1094.0639848987068 5.33264 0 0 0 0 0 84.0135519449229 88.72 58.001 36.7758 31.6741 27.2909 12.326302602734655 12.2889 0.8 0.3 110 1 bufload 2
110.301 10.8105 7.25621 3.015633041125542 1.690645 9031.62 8221.01 6760.76 1319.6544054474298 4.02946 0 0 0 0 0 37.155674652353056 48.128 49.9851 44.7894 33.5409 26.4527 4.791612052907058 0.0 0.4 0.25 101 1 bufburst 2
29.0831 11.0564 7.44991 2.912837251082251 1.690645 9031.62 8221.01 6760.76 1319.549883420561 4.02946 0 0 0 0 0 37.15335306422328 48.128 49.9851 46.099 33.4541 26.6272 4.799716304768094 0.0 0.4 0.25 102 1 bufburst 2
21.6065 17.3961 10.7317 3.280206991341992 1.7049750000000001 9031.62 8220.99 6760.76 1318.896392741238 4.0451049999999995 0 0 0 0 0 37.180546129646594 48.1973 99.9996 99.6026 87.5498 63.2612 10.383595977599551 0.0 0.4 0.25 103 1 bufburst 2
110.301 11.4619 7.16681 3.032798658008658 1.69969 9031.62 8221.01 6760.76 1319.65607044743 4.02946 0 0 0 0 0 37.169360337334744 48.128 49.9851 42.6333 33.3017 26.3016 4.765332851686034 0.0 0.4 0.25 104 1 bufburst 2
15.4147 9.59451 6.33423 2.577003235930736 1.68252 9031.62 8221.05 6760.76 1317.5584157429905 4.03716 0 0 0 0 0 37.07222003136663 48.128 34.5075 32.2908 28.5638 21.4509 3.7757936463029265 0.0 0.4 0.25 110 1 bufburst 2
134.679 12.6878 7.55205 3.4332427056277064 1.73261 7423.86 6757.74 5557.29 1090.6294593218456 6.301270000000001 0 0 0 0 0 37.87204090280806 48.128 49.9724 47.5066 36.5894 27.4346 5.148501455671914 0.0 0.4 0.5 101 1 bufburst 2
108.799 11.5776 7.6405 3.1846812770562765 1.741435 7423.86 6757.74 5557.29 1090.7009094503505 6.30106 0 0 0 0 0 37.85982032738255 48.128 49.9724 46.6553 35.9737 26.8618 5.025422958836977 0.0 0.4 0.5 102 1 bufburst 2
21.6494 17.8546 10.6967 3.333857922077922 1.803455 7423.86 6757.67 5557.29 1087.063651422313 6.30539 0 0 0 0 0 37.87280806654533 48.4 99.9982 99.6292 88.6972 63.097 10.935285457541148 0.0 0.4 0.5 103 1 bufburst 2
101.552 11.5206 7.55205 3.1054232900432903 1.74225 7423.86 6757.74 5557.29 1090.6265400169393 6.300785 0 0 0 0 0 37.88594047804956 48.128 49.9724 45.9007 35.4127 27.2728 5.057804452281845 0.0 0.4 0.5 104 1 bufburst 2
11.4791 8.99882 5.9654 2.5405505086580082 1.6756799999999998 7423.86 6757.79 5557.29 1084.5369785449768 6.295175 0 0 0 0 0 37.95123921207024 48.128 56.0362 32.9185 27.9142 20.8184 3.5877560481661637 0.0 0.4 0.5 110 1 bufburst 2
130.665 11.41 7.02517 3.26429579004329 1.732045 6302.29 5737.58 4717.79 928.7797072511684 12.98375 0 0 0 0 0 38.529715173493464 48.16 50.1196 45.9672 36.896 28.6868 5.193867252709855 0.0 0.4 0.75 101 1 bufburst 2
103.705 11.3976 7.10704 3.0921865800865804 1.73536 6302.29 5737.58 4717.79 928.5047168773364 12.972999999999999 0 0 0 0 0 38.5256613398088 48.128 54.7884 46.535 36.6604 28.4763 5.182497317510149 0.0 0.4 0.75 102 1 bufburst 2
21.6589 17.7626 10.8095 3.3785559632034627 1.81487 6302.29 5737.58 4717.79 923.9051968364485 7.864285000000001 0 0 0 0 0 38.55319780381808 48.4 99.9982 99.6052 89.225 64.9624 11.360130062091244 0.0 0.4 0.75 103 1 bufburst 2
130.665 13.2619 7.02517 3.2775762878787877 1.74173 6302.29 5737.58 4717.79 928.7801433901869 12.98375 0 0 0 0 0 38.54653709054381 48.128 50.1196 45.7244 36.4195 28.446 5.296421485188503 0.0 0.4 0.75 104 1 bufburst 2
16.6127 9.79741 6.25594 2.5941361904761906 1.685245 6302.29 5737.59 4717.79 922.224231328271 7.71326 0 0 0 0 0 38.29345120440608 48.128 62.9856 43.8484 28.6373 19.9083 3.47738341453729 0.0 0.4 0.75 110 1 bufburst 2
